factura_id,sucursal_id,ciudad_id,cliente_id,genero_id,linea_de_producto_id,metodo_de_pago_id,precio_unitario,cantidad,tax,total,fechas,costos_directos,ingreso_bruto,calificacion
750-67-8428,1,3,1,2,4,3,74.69,7,261.415,5489.715,2019-5-1 13:08:00,522.83,261.415,9.1
226-31-3081,3,2,2,2,1,1,15.28,5,3.82,80.22,2019-8-3 10:29:00,76.4,3.82,9.6
631-41-3108,1,3,2,1,5,2,46.33,7,162.155,3405.255,2019-3-3 13:23:00,324.31,162.155,7.4
123-19-1176,1,3,1,1,4,3,58.22,8,23.288,489.048,2019-1-27 20:33:00,465.76,23.288,8.4
373-73-7910,1,3,2,1,6,3,86.31,7,302.085,6343.785,2019-8-2 10:37:00,604.17,302.085,5.3
699-14-3026,3,2,2,1,1,3,85.39,7,298.865,6276.165,2019-3-25 18:30:00,597.73,298.865,4.1
355-53-5943,1,3,1,2,1,3,68.84,6,20.652,433.692,2019-2-25 14:36:00,413.04,20.652,5.8
315-22-5665,3,2,2,2,5,3,73.56,10,36.78,772.38,2019-2-24 11:38:00,735.6,36.78,8.0
665-32-9167,1,3,1,2,4,2,36.26,2,3.626,76.146,2019-10-1 17:15:00,72.52,3.626,7.2
692-92-5582,2,1,1,2,3,2,54.84,3,8.226,172.746,2019-2-20 13:27:00,164.52,8.226,5.9
351-62-0822,2,1,1,2,2,3,14.48,4,2.896,60.816,2019-6-2 18:07:00,57.92,2.896,4.5
529-56-3974,2,1,1,1,1,1,25.51,4,5.102,107.142,2019-9-3 17:03:00,102.04,5.102,6.8
365-64-0515,1,3,2,2,1,3,46.95,5,117.375,2464.875,2019-12-2 10:25:00,234.75,117.375,7.1
252-56-2699,1,3,2,1,3,3,43.19,10,21.595,453.495,2019-7-2 16:48:00,431.9,21.595,8.2
829-34-3910,1,3,2,2,4,1,71.38,10,35.69,749.49,2019-3-29 19:21:00,713.8,35.69,5.7
299-46-1805,2,1,1,2,6,1,93.72,6,28.116,590.436,2019-1-15 16:19:00,562.32,28.116,4.5
656-95-9349,1,3,1,2,4,2,68.93,7,241.255,5066.355,2019-11-3 11:03:00,482.51,241.255,4.6
765-26-6951,1,3,2,1,6,2,72.61,6,21.783,457.443,2019-1-1 10:39:00,435.66,21.783,6.9
329-62-1586,1,3,2,1,3,2,54.67,3,82.005,1722.105,2019-1-21 18:00:00,164.01,82.005,8.6
319-50-3348,2,1,2,2,5,3,40.3,2,4.03,84.63,2019-11-3 15:30:00,80.6,4.03,4.4
300-71-4605,3,2,1,1,1,3,86.04,5,21.51,451.71,2019-2-25 11:24:00,430.2,21.51,4.8
371-85-5789,2,1,2,1,4,3,87.98,3,13.197,277.137,2019-5-3 10:40:00,263.94,13.197,5.1
273-16-6619,2,1,2,1,5,2,33.2,2,3.32,69.72,2019-3-15 12:20:00,66.4,3.32,4.4
636-48-8204,1,3,2,1,1,3,34.56,5,8.64,181.44,2019-2-17 11:15:00,172.8,8.64,9.9
549-59-1358,1,3,1,1,6,3,88.63,3,132.945,2791.845,2019-2-3 17:36:00,265.89,132.945,6.0
227-03-5010,1,3,1,2,5,2,52.59,8,21.036,441.756,2019-3-22 19:20:00,420.72,21.036,8.5
649-29-6775,2,1,2,1,2,1,33.52,1,1.676,35.196,2019-8-2 15:31:00,33.52,1.676,6.7
189-17-4241,1,3,2,2,2,2,87.67,2,8.767,184.107,2019-10-3 12:17:00,175.34,8.767,7.7
145-94-9061,2,1,2,2,3,1,88.36,5,22.09,463.89,2019-1-25 19:48:00,441.8,22.09,9.6
848-62-7243,1,3,2,1,4,1,24.89,9,112.005,2352.105,2019-3-15 15:36:00,224.01,112.005,7.4
871-79-8483,2,1,2,1,2,2,94.13,5,235.325,4941.825,2019-2-25 19:39:00,470.65,235.325,4.8
149-71-6266,2,1,1,1,6,1,78.07,9,351.315,7377.615,2019-1-28 12:43:00,702.63,351.315,4.5
640-49-2076,2,1,2,1,6,1,83.78,8,33.512,703.752,2019-10-1 14:49:00,670.24,33.512,5.1
595-11-5460,1,3,2,1,4,2,96.58,2,9.658,202.818,2019-3-15 10:12:00,193.16,9.658,5.1
183-56-6882,3,2,1,2,3,3,99.42,4,19.884,417.564,2019-6-2 10:42:00,397.68,19.884,7.5
232-16-2483,3,2,1,2,6,3,68.12,1,3.406,71.526,2019-7-1 12:28:00,68.12,3.406,6.8
129-29-8530,1,3,1,1,6,3,62.62,5,15.655,328.755,2019-10-3 19:15:00,313.1,15.655,7.0
272-65-1806,1,3,2,2,1,3,60.88,9,27.396,575.316,2019-1-15 17:17:00,547.92,27.396,4.7
333-73-7901,3,2,2,2,4,3,54.92,8,21.968,461.328,2019-3-23 13:24:00,439.36,21.968,7.6
777-82-7220,2,1,1,1,5,1,30.12,8,12.048,253.008,2019-3-3 13:01:00,240.96,12.048,7.7
280-35-5823,2,1,1,2,5,3,86.72,1,4.336,91.056,2019-1-17 18:45:00,86.72,4.336,7.9
554-53-8700,3,2,1,1,5,1,56.11,2,5.611,117.831,2019-2-2 10:11:00,112.22,5.611,6.3
354-25-5821,2,1,1,2,6,1,69.12,6,20.736,435.456,2019-8-2 13:03:00,414.72,20.736,5.6
228-96-1411,3,2,1,2,3,1,98.7,8,39.48,829.08,2019-4-3 20:39:00,789.6,39.48,7.6
617-15-4209,3,2,1,1,4,1,15.37,2,1.537,32.277,2019-3-16 19:47:00,30.74,1.537,7.2
132-32-9879,2,1,1,2,1,1,93.96,4,18.792,394.632,2019-9-3 18:00:00,375.84,18.792,9.5
370-41-7321,2,1,1,1,4,2,56.69,9,255.105,5357.205,2019-2-27 17:24:00,510.21,255.105,8.4
727-46-3608,2,1,1,2,3,3,20.01,9,90.045,1890.945,2019-6-2 15:47:00,180.09,90.045,4.1
669-54-1719,2,1,1,1,1,2,18.93,6,5.679,119.259,2019-10-2 12:45:00,113.58,5.679,8.1
574-22-5561,3,2,1,2,2,3,82.63,10,41.315,867.615,2019-3-19 17:08:00,826.3,41.315,7.9
326-78-5178,3,2,1,1,3,1,91.4,7,31.99,671.79,2019-3-2 10:19:00,639.8,31.99,9.5
162-48-8011,1,3,1,2,3,1,44.59,5,111.475,2340.975,2019-10-2 15:10:00,222.95,111.475,8.5
616-24-2851,2,1,1,2,2,3,17.87,4,3.574,75.054,2019-3-22 14:42:00,71.48,3.574,6.5
778-71-5554,3,2,1,1,2,2,15.43,1,0.7715,162.015,2019-1-25 15:46:00,15.43,0.7715,6.1
242-55-6721,2,1,2,1,5,3,16.16,2,1.616,33.936,2019-7-3 11:49:00,32.32,1.616,6.5
399-46-5918,3,2,2,2,1,1,85.98,8,34.392,722.232,2019-2-28 19:01:00,687.84,34.392,8.2
106-35-6779,1,3,1,1,5,1,44.34,2,4.434,93.114,2019-3-27 11:26:00,88.68,4.434,5.8
635-40-6220,1,3,2,1,4,3,89.6,8,35.84,752.64,2019-7-2 11:28:00,716.8,35.84,6.6
817-48-8732,1,3,1,2,5,1,72.35,10,36.175,759.675,2019-1-20 15:55:00,723.5,36.175,5.4
120-06-4233,3,2,2,1,1,1,30.61,6,9.183,192.843,2019-12-3 20:36:00,183.66,9.183,9.3
285-68-5083,3,2,1,2,6,2,24.74,3,3.711,77.931,2019-2-15 17:47:00,74.22,3.711,10.0
803-83-5989,3,2,2,1,5,3,55.73,6,16.719,351.099,2019-2-24 10:55:00,334.38,16.719,7.0
347-34-2234,2,1,1,2,6,3,55.07,9,247.815,5204.115,2019-3-2 13:40:00,495.63,247.815,10.0
199-75-8169,1,3,1,1,6,2,15.81,10,7.905,166.005,2019-6-3 12:27:00,158.1,7.905,8.6
853-23-2453,2,1,1,1,4,1,75.74,4,15.148,318.108,2019-2-14 14:35:00,302.96,15.148,7.6
877-22-3308,1,3,1,1,4,1,15.87,10,7.935,166.635,2019-3-13 16:40:00,158.7,7.935,5.8
838-78-4295,3,2,2,2,4,3,33.47,2,3.347,70.287,2019-10-2 15:43:00,66.94,3.347,6.7
109-28-2512,2,1,1,2,2,3,97.61,6,29.283,614.943,2019-7-1 15:01:00,585.66,29.283,9.9
232-11-3025,1,3,2,1,6,1,78.77,10,39.385,827.085,2019-1-24 10:04:00,787.7,39.385,6.4
382-03-4532,1,3,1,2,4,1,18.33,1,0.9165,192.465,2019-2-2 18:50:00,18.33,0.9165,4.3
393-65-2792,3,2,2,1,3,2,89.48,10,44.74,939.54,2019-6-1 12:46:00,894.8,44.74,9.6
796-12-2025,3,2,2,1,2,1,62.12,10,31.06,652.26,2019-11-2 16:19:00,621.2,31.06,5.9
510-95-6347,2,1,1,2,3,3,48.52,3,7.278,152.838,2019-5-3 18:17:00,145.56,7.278,4.0
841-35-6630,3,2,2,2,1,1,75.91,6,22.773,478.233,2019-9-3 18:21:00,455.46,22.773,8.7
287-21-9091,1,3,2,1,5,3,74.67,9,336.015,7056.315,2019-1-22 10:55:00,672.03,336.015,9.4
732-94-0499,3,2,2,2,1,2,41.65,10,20.825,437.325,2019-1-13 17:04:00,416.5,20.825,5.4
263-10-3913,3,2,1,1,2,2,49.04,9,22.068,463.428,2019-9-1 14:20:00,441.36,22.068,8.6
381-20-0914,1,3,1,2,2,2,20.01,9,90.045,1890.945,2019-12-1 15:48:00,180.09,90.045,5.7
829-49-1914,3,2,1,2,3,3,78.31,10,39.155,822.255,2019-5-3 16:24:00,783.1,39.155,6.6
756-01-7507,3,2,2,2,4,1,20.38,5,5.095,106.995,2019-1-22 18:56:00,101.9,5.095,6.0
870-72-4431,3,2,2,2,4,2,99.19,6,29.757,624.897,2019-1-21 14:42:00,595.14,29.757,5.5
847-38-7188,2,1,2,2,3,3,96.68,3,14.502,304.542,2019-1-26 19:56:00,290.04,14.502,6.4
480-63-2856,3,2,2,1,3,3,19.25,8,7.7,161.7,2019-1-23 18:37:00,154.0,7.7,6.6
787-56-0757,3,2,1,2,3,2,80.36,4,16.072,337.512,2019-2-23 18:45:00,321.44,16.072,8.3
360-39-5055,3,2,1,1,6,1,48.91,5,122.275,2567.775,2019-9-3 10:17:00,244.55,122.275,6.6
730-50-9884,3,2,2,2,6,3,83.06,7,29.071,610.491,2019-5-3 14:31:00,581.42,29.071,4.0
362-58-8315,3,2,2,1,2,1,76.52,5,19.13,401.73,2019-3-25 10:23:00,382.6,19.13,9.9
633-44-8566,1,3,1,1,3,2,49.38,7,17.283,362.943,2019-3-27 20:35:00,345.66,17.283,7.3
504-35-8843,1,3,2,1,6,1,42.47,1,21.235,445.935,2019-2-1 16:57:00,42.47,21.235,5.7
318-68-5053,2,1,2,2,4,1,76.99,6,23.097,485.037,2019-2-27 17:55:00,461.94,23.097,6.1
565-80-5980,3,2,1,2,5,1,47.38,4,9.476,198.996,2019-1-23 10:25:00,189.52,9.476,7.1
225-32-0908,3,2,2,2,6,3,44.86,10,22.43,471.03,2019-1-26 19:54:00,448.6,22.43,8.2
873-51-0671,1,3,1,2,6,3,21.98,7,7.693,161.553,2019-10-1 16:42:00,153.86,7.693,5.1
152-08-9985,2,1,1,1,4,2,64.36,9,28.962,608.202,2019-12-3 12:09:00,579.24,28.962,8.6
512-91-0811,3,2,2,1,4,2,89.75,1,44.875,942.375,2019-6-2 20:05:00,89.75,44.875,6.6
594-34-4444,1,3,2,1,1,3,97.16,1,4.858,102.018,2019-8-3 20:38:00,97.16,4.858,7.2
766-85-7061,2,1,2,1,4,3,87.87,10,43.935,922.635,2019-3-29 10:25:00,878.7,43.935,5.1
871-39-9221,3,2,2,2,1,1,12.45,6,3.735,78.435,2019-9-2 13:11:00,74.7,3.735,4.1
865-92-6136,1,3,2,1,3,3,52.75,3,79.125,1661.625,2019-3-23 10:16:00,158.25,79.125,9.3
